"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"366","250768","PI562897","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250768_LeafPhotoA_2025-10-07%2014_34_53.846-05_00.jpg","2025-10-07 14:34:55.988-05:00"," ","","1","SM-A166U1"
"366","250768","PI562897","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250768_LeafPhotoA_2025-10-07%2014_35_14.980-05_00.jpg","2025-10-07 14:35:17.121-05:00"," ","","2","SM-A166U1"
"366","250768","PI562897","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250768_LeafPhotoA_2025-10-07%2014_35_29.655-05_00.jpg","2025-10-07 14:35:31.828-05:00"," ","","3","SM-A166U1"
"368","250769","PI562970","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250769_LeafPhotoA_2025-10-07%2014_35_48.654-05_00.jpg","2025-10-07 14:35:50.666-05:00"," ","","1","SM-A166U1"
"368","250769","PI562970","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250769_LeafPhotoA_2025-10-07%2014_36_01.486-05_00.jpg","2025-10-07 14:36:03.623-05:00"," ","","2","SM-A166U1"
"368","250769","PI562970","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250769_LeafPhotoA_2025-10-07%2014_36_24.921-05_00.jpg","2025-10-07 14:36:27.165-05:00"," ","","3","SM-A166U1"
"49","250770","PI156217","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250770_LeafPhotoA_2025-10-07%2014_36_53.009-05_00.jpg","2025-10-07 14:36:55.256-05:00"," ","","1","SM-A166U1"
"49","250770","PI156217","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250770_LeafPhotoA_2025-10-07%2014_37_05.659-05_00.jpg","2025-10-07 14:37:07.768-05:00"," ","","2","SM-A166U1"
"49","250770","PI156217","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250770_LeafPhotoA_2025-10-07%2014_37_18.240-05_00.jpg","2025-10-07 14:37:20.425-05:00"," ","","3","SM-A166U1"
"156","250771","PI329841","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250771_LeafPhotoA_2025-10-07%2014_37_48.298-05_00.jpg","2025-10-07 14:37:50.416-05:00"," ","","1","SM-A166U1"
"156","250771","PI329841","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250771_LeafPhotoA_2025-10-07%2014_38_02.651-05_00.jpg","2025-10-07 14:38:04.741-05:00"," ","","2","SM-A166U1"
"156","250771","PI329841","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250771_LeafPhotoA_2025-10-07%2014_38_15.301-05_00.jpg","2025-10-07 14:38:17.463-05:00"," ","","3","SM-A166U1"
"204","250772","PI521152","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250772_LeafPhotoA_2025-10-07%2014_38_40.649-05_00.jpg","2025-10-07 14:38:42.920-05:00"," ","","1","SM-A166U1"
"204","250772","PI521152","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250772_LeafPhotoA_2025-10-07%2014_38_54.133-05_00.jpg","2025-10-07 14:38:56.345-05:00"," ","","2","SM-A166U1"
"204","250772","PI521152","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250772_LeafPhotoA_2025-10-07%2014_39_10.190-05_00.jpg","2025-10-07 14:39:12.507-05:00"," ","","3","SM-A166U1"
"94","250773","PI273969","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250773_LeafPhotoA_2025-10-07%2014_39_51.807-05_00.jpg","2025-10-07 14:39:54.156-05:00"," ","","1","SM-A166U1"
"94","250773","PI273969","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250773_LeafPhotoA_2025-10-07%2014_40_08.194-05_00.jpg","2025-10-07 14:40:10.341-05:00"," ","","2","SM-A166U1"
"94","250773","PI273969","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250773_LeafPhotoA_2025-10-07%2014_40_26.641-05_00.jpg","2025-10-07 14:40:28.871-05:00"," ","","3","SM-A166U1"
"94","250773","PI273969","Rep 1","BAP","LeafPhotoNotesA","from single plants ","2025-10-07 14:41:50.609-05:00"," ","","1","SM-A166U1"
"12","250774","PI145619","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250774_LeafPhotoA_2025-10-07%2014_42_16.452-05_00.jpg","2025-10-07 14:42:18.668-05:00"," ","","1","SM-A166U1"
"12","250774","PI145619","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250774_LeafPhotoA_2025-10-07%2014_42_27.020-05_00.jpg","2025-10-07 14:42:29.074-05:00"," ","","2","SM-A166U1"
"12","250774","PI145619","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250774_LeafPhotoA_2025-10-07%2014_42_39.284-05_00.jpg","2025-10-07 14:42:41.452-05:00"," ","","3","SM-A166U1"
"487","250935","PI576401","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250935_LeafPhotoA_2025-10-08%2008_31_54.819-05_00.jpg","2025-10-08 08:31:56.636-05:00"," ","","1","SM-A166U1"
